test_id,test_name,sample_idx,in_re,in_im,exp_out_re,exp_out_im
0,impulse,0,1.0000000000,0.0000000000,1.0000000000,0.0000000000
0,impulse,1,0.0000000000,0.0000000000,1.0000000000,0.0000000000
0,impulse,2,0.0000000000,0.0000000000,1.0000000000,0.0000000000
0,impulse,3,0.0000000000,0.0000000000,1.0000000000,0.0000000000
0,impulse,4,0.0000000000,0.0000000000,1.0000000000,0.0000000000
0,impulse,5,0.0000000000,0.0000000000,1.0000000000,0.0000000000
0,impulse,6,0.0000000000,0.0000000000,1.0000000000,0.0000000000
0,impulse,7,0.0000000000,0.0000000000,1.0000000000,0.0000000000
0,impulse,8,0.0000000000,0.0000000000,1.0000000000,0.0000000000
0,impulse,9,0.0000000000,0.0000000000,1.0000000000,0.0000000000
0,impulse,10,0.0000000000,0.0000000000,1.0000000000,0.0000000000
0,impulse,11,0.0000000000,0.0000000000,1.0000000000,0.0000000000
0,impulse,12,0.0000000000,0.0000000000,1.0000000000,0.0000000000
0,impulse,13,0.0000000000,0.0000000000,1.0000000000,0.0000000000
0,impulse,14,0.0000000000,0.0000000000,1.0000000000,0.0000000000
0,impulse,15,0.0000000000,0.0000000000,1.0000000000,0.0000000000
1,dc,0,1.0000000000,0.0000000000,16.0000000000,0.0000000000
1,dc,1,1.0000000000,0.0000000000,0.0000000000,0.0000000000
1,dc,2,1.0000000000,0.0000000000,0.0000000000,0.0000000000
1,dc,3,1.0000000000,0.0000000000,0.0000000000,0.0000000000
1,dc,4,1.0000000000,0.0000000000,0.0000000000,0.0000000000
1,dc,5,1.0000000000,0.0000000000,0.0000000000,0.0000000000
1,dc,6,1.0000000000,0.0000000000,0.0000000000,0.0000000000
1,dc,7,1.0000000000,0.0000000000,0.0000000000,0.0000000000
1,dc,8,1.0000000000,0.0000000000,0.0000000000,0.0000000000
1,dc,9,1.0000000000,0.0000000000,0.0000000000,0.0000000000
1,dc,10,1.0000000000,0.0000000000,0.0000000000,0.0000000000
1,dc,11,1.0000000000,0.0000000000,0.0000000000,0.0000000000
1,dc,12,1.0000000000,0.0000000000,0.0000000000,0.0000000000
1,dc,13,1.0000000000,0.0000000000,0.0000000000,0.0000000000
1,dc,14,1.0000000000,0.0000000000,0.0000000000,0.0000000000
1,dc,15,1.0000000000,0.0000000000,0.0000000000,0.0000000000
2,tone_bin0,0,1.0000000000,0.0000000000,16.0000000000,0.0000000000
2,tone_bin0,1,1.0000000000,0.0000000000,0.0000000000,0.0000000000
2,tone_bin0,2,1.0000000000,0.0000000000,0.0000000000,0.0000000000
2,tone_bin0,3,1.0000000000,0.0000000000,0.0000000000,0.0000000000
2,tone_bin0,4,1.0000000000,0.0000000000,0.0000000000,0.0000000000
2,tone_bin0,5,1.0000000000,0.0000000000,0.0000000000,0.0000000000
2,tone_bin0,6,1.0000000000,0.0000000000,0.0000000000,0.0000000000
2,tone_bin0,7,1.0000000000,0.0000000000,0.0000000000,0.0000000000
2,tone_bin0,8,1.0000000000,0.0000000000,0.0000000000,0.0000000000
2,tone_bin0,9,1.0000000000,0.0000000000,0.0000000000,0.0000000000
2,tone_bin0,10,1.0000000000,0.0000000000,0.0000000000,0.0000000000
2,tone_bin0,11,1.0000000000,0.0000000000,0.0000000000,0.0000000000
2,tone_bin0,12,1.0000000000,0.0000000000,0.0000000000,0.0000000000
2,tone_bin0,13,1.0000000000,0.0000000000,0.0000000000,0.0000000000
2,tone_bin0,14,1.0000000000,0.0000000000,0.0000000000,0.0000000000
2,tone_bin0,15,1.0000000000,0.0000000000,0.0000000000,0.0000000000
3,tone_bin1,0,1.0000000000,0.0000000000,-0.0000000000,-0.0000000000
3,tone_bin1,1,0.9238795325,0.3826834324,16.0000000000,-0.0000000000
3,tone_bin1,2,0.7071067812,0.7071067812,0.0000000000,0.0000000000
3,tone_bin1,3,0.3826834324,0.9238795325,0.0000000000,-0.0000000000
3,tone_bin1,4,0.0000000000,1.0000000000,0.0000000000,-0.0000000000
3,tone_bin1,5,-0.3826834324,0.9238795325,0.0000000000,0.0000000000
3,tone_bin1,6,-0.7071067812,0.7071067812,0.0000000000,0.0000000000
3,tone_bin1,7,-0.9238795325,0.3826834324,0.0000000000,0.0000000000
3,tone_bin1,8,-1.0000000000,0.0000000000,0.0000000000,0.0000000000
3,tone_bin1,9,-0.9238795325,-0.3826834324,0.0000000000,0.0000000000
3,tone_bin1,10,-0.7071067812,-0.7071067812,-0.0000000000,0.0000000000
3,tone_bin1,11,-0.3826834324,-0.9238795325,0.0000000000,0.0000000000
3,tone_bin1,12,-0.0000000000,-1.0000000000,-0.0000000000,0.0000000000
3,tone_bin1,13,0.3826834324,-0.9238795325,-0.0000000000,0.0000000000
3,tone_bin1,14,0.7071067812,-0.7071067812,-0.0000000000,-0.0000000000
3,tone_bin1,15,0.9238795325,-0.3826834324,0.0000000000,-0.0000000000
4,tone_bin2,0,1.0000000000,0.0000000000,0.0000000000,-0.0000000000
4,tone_bin2,1,0.7071067812,0.7071067812,-0.0000000000,0.0000000000
4,tone_bin2,2,0.0000000000,1.0000000000,16.0000000000,-0.0000000000
4,tone_bin2,3,-0.7071067812,0.7071067812,0.0000000000,-0.0000000000
4,tone_bin2,4,-1.0000000000,0.0000000000,0.0000000000,-0.0000000000
4,tone_bin2,5,-0.7071067812,-0.7071067812,0.0000000000,-0.0000000000
4,tone_bin2,6,-0.0000000000,-1.0000000000,0.0000000000,-0.0000000000
4,tone_bin2,7,0.7071067812,-0.7071067812,0.0000000000,0.0000000000
4,tone_bin2,8,1.0000000000,-0.0000000000,-0.0000000000,0.0000000000
4,tone_bin2,9,0.7071067812,0.7071067812,0.0000000000,0.0000000000
4,tone_bin2,10,0.0000000000,1.0000000000,0.0000000000,0.0000000000
4,tone_bin2,11,-0.7071067812,0.7071067812,-0.0000000000,0.0000000000
4,tone_bin2,12,-1.0000000000,0.0000000000,0.0000000000,0.0000000000
4,tone_bin2,13,-0.7071067812,-0.7071067812,-0.0000000000,0.0000000000
4,tone_bin2,14,-0.0000000000,-1.0000000000,-0.0000000000,0.0000000000
4,tone_bin2,15,0.7071067812,-0.7071067812,-0.0000000000,-0.0000000000
5,tone_bin3,0,1.0000000000,0.0000000000,-0.0000000000,-0.0000000000
5,tone_bin3,1,0.3826834324,0.9238795325,0.0000000000,0.0000000000
5,tone_bin3,2,-0.7071067812,0.7071067812,-0.0000000000,0.0000000000
5,tone_bin3,3,-0.9238795325,-0.3826834324,16.0000000000,-0.0000000000
5,tone_bin3,4,-0.0000000000,-1.0000000000,0.0000000000,0.0000000000
5,tone_bin3,5,0.9238795325,-0.3826834324,-0.0000000000,0.0000000000
5,tone_bin3,6,0.7071067812,0.7071067812,0.0000000000,-0.0000000000
5,tone_bin3,7,-0.3826834324,0.9238795325,-0.0000000000,0.0000000000
5,tone_bin3,8,-1.0000000000,0.0000000000,0.0000000000,-0.0000000000
5,tone_bin3,9,-0.3826834324,-0.9238795325,0.0000000000,0.0000000000
5,tone_bin3,10,0.7071067812,-0.7071067812,-0.0000000000,0.0000000000
5,tone_bin3,11,0.9238795325,0.3826834324,0.0000000000,-0.0000000000
5,tone_bin3,12,0.0000000000,1.0000000000,0.0000000000,0.0000000000
5,tone_bin3,13,-0.9238795325,0.3826834324,-0.0000000000,-0.0000000000
5,tone_bin3,14,-0.7071067812,-0.7071067812,-0.0000000000,-0.0000000000
5,tone_bin3,15,0.3826834324,-0.9238795325,0.0000000000,0.0000000000
6,tone_bin4,0,1.0000000000,0.0000000000,-0.0000000000,0.0000000000
6,tone_bin4,1,0.0000000000,1.0000000000,-0.0000000000,-0.0000000000
6,tone_bin4,2,-1.0000000000,0.0000000000,0.0000000000,-0.0000000000
6,tone_bin4,3,-0.0000000000,-1.0000000000,-0.0000000000,0.0000000000
6,tone_bin4,4,1.0000000000,-0.0000000000,16.0000000000,-0.0000000000
6,tone_bin4,5,0.0000000000,1.0000000000,0.0000000000,0.0000000000
6,tone_bin4,6,-1.0000000000,0.0000000000,-0.0000000000,-0.0000000000
6,tone_bin4,7,-0.0000000000,-1.0000000000,0.0000000000,-0.0000000000
6,tone_bin4,8,1.0000000000,-0.0000000000,0.0000000000,0.0000000000
6,tone_bin4,9,0.0000000000,1.0000000000,0.0000000000,0.0000000000
6,tone_bin4,10,-1.0000000000,0.0000000000,-0.0000000000,0.0000000000
6,tone_bin4,11,-0.0000000000,-1.0000000000,0.0000000000,0.0000000000
6,tone_bin4,12,1.0000000000,-0.0000000000,0.0000000000,0.0000000000
6,tone_bin4,13,-0.0000000000,1.0000000000,-0.0000000000,0.0000000000
6,tone_bin4,14,-1.0000000000,0.0000000000,0.0000000000,0.0000000000
6,tone_bin4,15,-0.0000000000,-1.0000000000,-0.0000000000,0.0000000000
7,tone_bin5,0,1.0000000000,0.0000000000,-0.0000000000,-0.0000000000
7,tone_bin5,1,-0.3826834324,0.9238795325,0.0000000000,0.0000000000
7,tone_bin5,2,-0.7071067812,-0.7071067812,0.0000000000,0.0000000000
7,tone_bin5,3,0.9238795325,-0.3826834324,-0.0000000000,0.0000000000
7,tone_bin5,4,0.0000000000,1.0000000000,-0.0000000000,-0.0000000000
7,tone_bin5,5,-0.9238795325,-0.3826834324,16.0000000000,-0.0000000000
7,tone_bin5,6,0.7071067812,-0.7071067812,0.0000000000,-0.0000000000
7,tone_bin5,7,0.3826834324,0.9238795325,0.0000000000,0.0000000000
7,tone_bin5,8,-1.0000000000,0.0000000000,-0.0000000000,0.0000000000
7,tone_bin5,9,0.3826834324,-0.9238795325,-0.0000000000,0.0000000000
