test_id,test_name,mode,num_ffts,src_addr,dst_addr,sample_idx,in_re,in_im,exp_re,exp_im
0,fft_impulse_1,0,1,256,4096,0,1.0000000000,0.0000000000,1.0000000000,0.0000000000
0,fft_impulse_1,0,1,256,4096,1,0.0000000000,0.0000000000,1.0000000000,0.0000000000
0,fft_impulse_1,0,1,256,4096,2,0.0000000000,0.0000000000,1.0000000000,0.0000000000
0,fft_impulse_1,0,1,256,4096,3,0.0000000000,0.0000000000,1.0000000000,0.0000000000
0,fft_impulse_1,0,1,256,4096,4,0.0000000000,0.0000000000,1.0000000000,0.0000000000
0,fft_impulse_1,0,1,256,4096,5,0.0000000000,0.0000000000,1.0000000000,0.0000000000
0,fft_impulse_1,0,1,256,4096,6,0.0000000000,0.0000000000,1.0000000000,0.0000000000
0,fft_impulse_1,0,1,256,4096,7,0.0000000000,0.0000000000,1.0000000000,0.0000000000
0,fft_impulse_1,0,1,256,4096,8,0.0000000000,0.0000000000,1.0000000000,0.0000000000
0,fft_impulse_1,0,1,256,4096,9,0.0000000000,0.0000000000,1.0000000000,0.0000000000
0,fft_impulse_1,0,1,256,4096,10,0.0000000000,0.0000000000,1.0000000000,0.0000000000
0,fft_impulse_1,0,1,256,4096,11,0.0000000000,0.0000000000,1.0000000000,0.0000000000
0,fft_impulse_1,0,1,256,4096,12,0.0000000000,0.0000000000,1.0000000000,0.0000000000
0,fft_impulse_1,0,1,256,4096,13,0.0000000000,0.0000000000,1.0000000000,0.0000000000
0,fft_impulse_1,0,1,256,4096,14,0.0000000000,0.0000000000,1.0000000000,0.0000000000
0,fft_impulse_1,0,1,256,4096,15,0.0000000000,0.0000000000,1.0000000000,0.0000000000
1,fft_dc_1,0,1,256,4096,0,1.0000000000,0.0000000000,16.0000000000,0.0000000000
1,fft_dc_1,0,1,256,4096,1,1.0000000000,0.0000000000,0.0000000000,0.0000000000
1,fft_dc_1,0,1,256,4096,2,1.0000000000,0.0000000000,0.0000000000,0.0000000000
1,fft_dc_1,0,1,256,4096,3,1.0000000000,0.0000000000,0.0000000000,0.0000000000
1,fft_dc_1,0,1,256,4096,4,1.0000000000,0.0000000000,0.0000000000,0.0000000000
1,fft_dc_1,0,1,256,4096,5,1.0000000000,0.0000000000,0.0000000000,0.0000000000
1,fft_dc_1,0,1,256,4096,6,1.0000000000,0.0000000000,0.0000000000,0.0000000000
1,fft_dc_1,0,1,256,4096,7,1.0000000000,0.0000000000,0.0000000000,0.0000000000
1,fft_dc_1,0,1,256,4096,8,1.0000000000,0.0000000000,0.0000000000,0.0000000000
1,fft_dc_1,0,1,256,4096,9,1.0000000000,0.0000000000,0.0000000000,0.0000000000
1,fft_dc_1,0,1,256,4096,10,1.0000000000,0.0000000000,0.0000000000,0.0000000000
1,fft_dc_1,0,1,256,4096,11,1.0000000000,0.0000000000,0.0000000000,0.0000000000
1,fft_dc_1,0,1,256,4096,12,1.0000000000,0.0000000000,0.0000000000,0.0000000000
1,fft_dc_1,0,1,256,4096,13,1.0000000000,0.0000000000,0.0000000000,0.0000000000
1,fft_dc_1,0,1,256,4096,14,1.0000000000,0.0000000000,0.0000000000,0.0000000000
1,fft_dc_1,0,1,256,4096,15,1.0000000000,0.0000000000,0.0000000000,0.0000000000
2,fft_tone1_1,0,1,256,4096,0,1.0000000000,0.0000000000,-0.0000000000,-0.0000000000
2,fft_tone1_1,0,1,256,4096,1,0.9238795325,0.3826834324,16.0000000000,-0.0000000000
2,fft_tone1_1,0,1,256,4096,2,0.7071067812,0.7071067812,0.0000000000,0.0000000000
2,fft_tone1_1,0,1,256,4096,3,0.3826834324,0.9238795325,0.0000000000,-0.0000000000
2,fft_tone1_1,0,1,256,4096,4,0.0000000000,1.0000000000,0.0000000000,-0.0000000000
2,fft_tone1_1,0,1,256,4096,5,-0.3826834324,0.9238795325,0.0000000000,0.0000000000
2,fft_tone1_1,0,1,256,4096,6,-0.7071067812,0.7071067812,0.0000000000,0.0000000000
2,fft_tone1_1,0,1,256,4096,7,-0.9238795325,0.3826834324,0.0000000000,0.0000000000
2,fft_tone1_1,0,1,256,4096,8,-1.0000000000,0.0000000000,0.0000000000,0.0000000000
2,fft_tone1_1,0,1,256,4096,9,-0.9238795325,-0.3826834324,0.0000000000,0.0000000000
2,fft_tone1_1,0,1,256,4096,10,-0.7071067812,-0.7071067812,-0.0000000000,0.0000000000
2,fft_tone1_1,0,1,256,4096,11,-0.3826834324,-0.9238795325,0.0000000000,0.0000000000
2,fft_tone1_1,0,1,256,4096,12,-0.0000000000,-1.0000000000,-0.0000000000,0.0000000000
2,fft_tone1_1,0,1,256,4096,13,0.3826834324,-0.9238795325,-0.0000000000,0.0000000000
2,fft_tone1_1,0,1,256,4096,14,0.7071067812,-0.7071067812,-0.0000000000,-0.0000000000
2,fft_tone1_1,0,1,256,4096,15,0.9238795325,-0.3826834324,0.0000000000,-0.0000000000
3,fft_batch2,0,2,256,4096,0,1.0000000000,0.0000000000,1.0000000000,0.0000000000
3,fft_batch2,0,2,256,4096,1,0.0000000000,0.0000000000,1.0000000000,0.0000000000
3,fft_batch2,0,2,256,4096,2,0.0000000000,0.0000000000,1.0000000000,0.0000000000
3,fft_batch2,0,2,256,4096,3,0.0000000000,0.0000000000,1.0000000000,0.0000000000
3,fft_batch2,0,2,256,4096,4,0.0000000000,0.0000000000,1.0000000000,0.0000000000
3,fft_batch2,0,2,256,4096,5,0.0000000000,0.0000000000,1.0000000000,0.0000000000
3,fft_batch2,0,2,256,4096,6,0.0000000000,0.0000000000,1.0000000000,0.0000000000
3,fft_batch2,0,2,256,4096,7,0.0000000000,0.0000000000,1.0000000000,0.0000000000
3,fft_batch2,0,2,256,4096,8,0.0000000000,0.0000000000,1.0000000000,0.0000000000
3,fft_batch2,0,2,256,4096,9,0.0000000000,0.0000000000,1.0000000000,0.0000000000
3,fft_batch2,0,2,256,4096,10,0.0000000000,0.0000000000,1.0000000000,0.0000000000
3,fft_batch2,0,2,256,4096,11,0.0000000000,0.0000000000,1.0000000000,0.0000000000
3,fft_batch2,0,2,256,4096,12,0.0000000000,0.0000000000,1.0000000000,0.0000000000
3,fft_batch2,0,2,256,4096,13,0.0000000000,0.0000000000,1.0000000000,0.0000000000
3,fft_batch2,0,2,256,4096,14,0.0000000000,0.0000000000,1.0000000000,0.0000000000
3,fft_batch2,0,2,256,4096,15,0.0000000000,0.0000000000,1.0000000000,0.0000000000
3,fft_batch2,0,2,256,4096,16,1.0000000000,0.0000000000,16.0000000000,0.0000000000
3,fft_batch2,0,2,256,4096,17,1.0000000000,0.0000000000,0.0000000000,0.0000000000
3,fft_batch2,0,2,256,4096,18,1.0000000000,0.0000000000,0.0000000000,0.0000000000
3,fft_batch2,0,2,256,4096,19,1.0000000000,0.0000000000,0.0000000000,0.0000000000
3,fft_batch2,0,2,256,4096,20,1.0000000000,0.0000000000,0.0000000000,0.0000000000
3,fft_batch2,0,2,256,4096,21,1.0000000000,0.0000000000,0.0000000000,0.0000000000
3,fft_batch2,0,2,256,4096,22,1.0000000000,0.0000000000,0.0000000000,0.0000000000
3,fft_batch2,0,2,256,4096,23,1.0000000000,0.0000000000,0.0000000000,0.0000000000
3,fft_batch2,0,2,256,4096,24,1.0000000000,0.0000000000,0.0000000000,0.0000000000
3,fft_batch2,0,2,256,4096,25,1.0000000000,0.0000000000,0.0000000000,0.0000000000
3,fft_batch2,0,2,256,4096,26,1.0000000000,0.0000000000,0.0000000000,0.0000000000
3,fft_batch2,0,2,256,4096,27,1.0000000000,0.0000000000,0.0000000000,0.0000000000
3,fft_batch2,0,2,256,4096,28,1.0000000000,0.0000000000,0.0000000000,0.0000000000
3,fft_batch2,0,2,256,4096,29,1.0000000000,0.0000000000,0.0000000000,0.0000000000
3,fft_batch2,0,2,256,4096,30,1.0000000000,0.0000000000,0.0000000000,0.0000000000
3,fft_batch2,0,2,256,4096,31,1.0000000000,0.0000000000,0.0000000000,0.0000000000
4,fft_batch3,0,3,256,4096,0,1.0000000000,0.0000000000,-0.0000000000,-0.0000000000
4,fft_batch3,0,3,256,4096,1,0.9238795325,0.3826834324,16.0000000000,-0.0000000000
4,fft_batch3,0,3,256,4096,2,0.7071067812,0.7071067812,0.0000000000,0.0000000000
4,fft_batch3,0,3,256,4096,3,0.3826834324,0.9238795325,0.0000000000,-0.0000000000
4,fft_batch3,0,3,256,4096,4,0.0000000000,1.0000000000,0.0000000000,-0.0000000000
4,fft_batch3,0,3,256,4096,5,-0.3826834324,0.9238795325,0.0000000000,0.0000000000
4,fft_batch3,0,3,256,4096,6,-0.7071067812,0.7071067812,0.0000000000,0.0000000000
4,fft_batch3,0,3,256,4096,7,-0.9238795325,0.3826834324,0.0000000000,0.0000000000
4,fft_batch3,0,3,256,4096,8,-1.0000000000,0.0000000000,0.0000000000,0.0000000000
4,fft_batch3,0,3,256,4096,9,-0.9238795325,-0.3826834324,0.0000000000,0.0000000000
4,fft_batch3,0,3,256,4096,10,-0.7071067812,-0.7071067812,-0.0000000000,0.0000000000
4,fft_batch3,0,3,256,4096,11,-0.3826834324,-0.9238795325,0.0000000000,0.0000000000
4,fft_batch3,0,3,256,4096,12,-0.0000000000,-1.0000000000,-0.0000000000,0.0000000000
4,fft_batch3,0,3,256,4096,13,0.3826834324,-0.9238795325,-0.0000000000,0.0000000000
